medicine_name
Paracetamol
Dolo 650
Crocin
Calpol
Ibuprofen
Brufen
Combiflam
Aspirin
Disprin
Azithromycin
Azee
Zithromax
Amoxicillin
Augmentin
Amoxil
Cefixime
Ceftum
Taxim-O
Ciprofloxacin
Ciplox
Ofloxacin
Oflox
Metformin
Glycomet
Glucophage
Insulin
Lantus
Huminsulin
Amlodipine
Amlogard
Norvasc
Telmisartan
Telma
Telsartan
Losartan
Losar
Pantoprazole
Pan D
Pantocid
Omeprazole
Omez
Prilosec
Rabeprazole
Razo
Domperidone
Domstal
Motilium
Ondansetron
Emeset
Cetirizine
Zyrtec
Alerid
Levocetirizine
Levocet
Montelukast
Montek-LC
Sinarest
Sinex
Vitamin C
Limcee
Zincovit
Supradyn
Calcium
Shelcal
Calcirol
Vitamin D3
Uprise-D3
Atorvastatin
Lipitor
Atorlip
Rosuvastatin
Rozavel
Crestor
Clopidogrel
Plavix
Warfarin
Acitrom
Thyroxine
Euthyrox
Eltroxin
Salbutamol
Asthalin
Budesonide
Budecort
Formoterol
Foracort
Dextromethorphan
Benadryl Cough
Codeine
Phensedyl
Loratadine
Claritine
Fexofenadine
Allegra
Doxycycline
Doxicip
Linezolid
Zyvox
Levofloxacin
Tavanic
Spironolactone
Aldactone
Furosemide
Lasix
Hydrochlorothiazide
Aquazide
Allopurinol
Zyloric
Febuxostat
Febutaz
Diclofenac
Voveran
Naproxen
Naprosyn
Tramadol
Ultracet
Paroxetine
Paxil
Sertraline
Zoloft
Fluoxetine
Prozac
Alprazolam
Xanax
Diazepam
Valium
Clonazepam
Rivotril
Nicip
Citrizen
Bcomplex
Pentab
Levocetirizine
Zincovit
Paracip
Amoxycillin
